"date","hits","keyword","geo","time","gprop","category"
2024-09-28,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-29,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-09-30,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-01,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-02,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-03,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-04,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-05,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-06,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-07,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-08,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-09,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-10,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-11,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-12,4,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-13,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-14,5,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-15,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-16,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-17,10,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-18,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-19,6,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-20,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-21,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-22,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-23,7,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-24,9,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-25,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-26,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-27,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-28,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-29,11,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-30,10,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-10-31,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-11-01,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-11-02,8,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-11-03,13,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-11-04,15,"Kamala Harris","US","2024-08-01 2024-11-04","web",0
2024-08-01,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-02,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-03,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-04,3,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-05,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-06,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-07,13,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-08,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-09,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-10,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-11,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-12,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-13,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-14,8,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-15,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-16,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-17,3,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-18,3,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-19,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-20,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-21,9,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-22,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-23,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-24,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-25,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-26,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-27,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-28,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-29,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-30,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-08-31,3,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-01,3,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-02,3,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-03,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-04,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-05,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-06,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-07,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-08,3,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-09,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-10,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-11,12,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-12,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-13,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-14,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-15,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-16,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-17,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-18,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-19,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-20,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-21,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-22,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-23,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-24,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-25,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-26,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-27,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-28,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-29,4,"Election","US","2024-08-01 2024-11-04","web",0
2024-09-30,5,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-01,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-02,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-03,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-04,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-05,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-06,6,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-07,8,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-08,10,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-09,8,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-10,8,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-11,7,"Election","US","2024-08-01 2024-11-04","web",0
